Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
Yverdon Sport FC,Home,82',Substitution,Dimitrije Kamenovic,Tactical,,William Le Pogam,4244798
Yverdon Sport FC,Home,83',Substitution,Mauro Rodrigues,Tactical,,Aimen Mahious,4244798
FC Basel 1893,Away,90',Substitution,Maurice Malone,Tactical,,Thierno Barry,4244798
FC Basel 1893,Away,90',Substitution,Junior Zé,Tactical,,Anton Kade,4244798
FC Basel 1893,Away,30',Yellow Card,Gabriel Sigua,Foul,,,4244798
Yverdon Sport FC,Home,45',Yellow Card,Christopher Lungoyi,Foul,,,4244798
FC Basel 1893,Away,69',Yellow Card,Dominik Schmid,Foul,,,4244798
Yverdon Sport FC,Home,79',Direct Red Card,Dario Del Fabro,Serious foul,,,4244798
FC Luzern,Away,63',Goal,Ardon Jashari,Left-footed shot,Severin Ottiger,,4244799
Grasshopper Club Zurich,Home,46',Substitution,Pascal Schürpf,Tactical,,Théo Ndicka Matam,4244799
Grasshopper Club Zurich,Home,46',Substitution,Dorian Babunski,Tactical,,Bradley Fink,4244799
FC Luzern,Away,54',Substitution,Adrian Grbic,Tactical,,Thibault Klidjé,4244799
Grasshopper Club Zurich,Home,57',Substitution,Dijon Kameri,Tactical,,Tim Meyer,4244799
Grasshopper Club Zurich,Home,68',Substitution,Oliver Batista Meier,Tactical,,Filipe de Carvalho,4244799
Grasshopper Club Zurich,Home,78',Substitution,Tsiy Ndenge,Tactical,,Ayumu Seko,4244799
FC Luzern,Away,84',Substitution,Teddy Okou,Tactical,,Sofyan Chader,4244799
FC Luzern,Away,48',Yellow Card,Thibault Klidjé,Foul,,,4244799
FC Luzern,Away,55',Yellow Card,Luca Jaquez,Foul,,,4244799
Grasshopper Club Zurich,Home,72',Yellow Card,Dijon Kameri,Foul,,,4244799
Grasshopper Club Zurich,Home,75',Yellow Card,Liam Bollati,Foul,,,4244799
FC Luzern,Away,77',Yellow Card,Martin Frydek,Foul,,,4244799
Grasshopper Club Zurich,Home,81',Yellow Card,Oliver Batista Meier,Foul,,,4244799
Grasshopper Club Zurich,Home,90',Yellow Card,Joshua Laws,Foul,,,4244799
FC Lugano,Home,25',Goal,Shkelqim Vladi,Penalty,,,4244800
FC Lugano,Home,68',Goal,Zan Celar,Right-footed shot,Yanis Cimignani,,4244800
FC Lugano,Home,14',Substitution,Jonathan Sabbatini,Injury,,Uran Bislimi,4244800
FC Zürich,Away,46',Substitution,Jonathan Okita,Tactical,,Armstrong Oko-Flex,4244800
FC Zürich,Away,46',Substitution,Nevio Di Giusto,Tactical,,Cheveyo Tsawa,4244800
FC Lugano,Home,61',Substitution,Zan Celar,Tactical,,Shkelqim Vladi,4244800
FC Lugano,Home,61',Substitution,Yanis Cimignani,Tactical,,Mattia Bottani,4244800
FC Zürich,Away,64',Substitution,Nikola Boranijasevic,Tactical,,Nils Reichmuth,4244800
FC Zürich,Away,72',Substitution,Daniel Afriyie,Tactical,,Junior Ligue,4244800
FC Lugano,Home,83',Substitution,Johan Nkama,Tactical,,Mohamed Belhadj Mahmoud,4244800
FC Lugano,Home,84',Substitution,Ayman El Wafi,Tactical,,Hicham Mahou,4244800
FC Zürich,Away,90',Substitution,Fabian Rohner,Tactical,,Rodrigo Conceição,4244800
FC Lugano,Home,19',Yellow Card,Mohamed Belhadj Mahmoud,Foul,,,4244800
FC Zürich,Away,24',Yellow Card,Mirlind Kryeziu,Foul,,,4244800
FC Zürich,Away,29',Yellow Card,Cheveyo Tsawa,Foul,,,4244800
FC Zürich,Away,33',Yellow Card,Rodrigo Conceição,Foul,,,4244800
FC Lugano,Home,82',Yellow Card,Hicham Mahou,Foul,,,4244800
FC Winterthur,Away,8',Goal,Boubacar Fofana,Right-footed shot,Adrian Gantenbein,,4244801
FC Lausanne-Sport,Home,33',Goal,Brighton Labeau,Left-footed shot,,,4244801
FC Winterthur,Away,25',Substitution,Basil Stillhart,Injury,,Alexandre Jankewitz,4244801
FC Winterthur,Away,46',Substitution,Nishan Burkart,Tactical,,Sayfallah Ltaief,4244801
FC Lausanne-Sport,Home,72',Substitution,Alvyn Sanches,Tactical,,Simone Pafundi,4244801
FC Lausanne-Sport,Home,77',Substitution,Olivier Custodio,Tactical,,Donat Rrudhani,4244801
FC Lausanne-Sport,Home,77',Substitution,Chris Kablan,Tactical,,Haithem Loucif,4244801
FC Winterthur,Away,81',Substitution,Aldin Turkes,Tactical,,Boubacar Fofana,4244801
FC Winterthur,Away,81',Substitution,Matteo Di Giusto,Tactical,,Randy Schneider,4244801
FC Lausanne-Sport,Home,88',Substitution,Stjepan Kukuruzovic,Tactical,,Brighton Labeau,4244801
FC Lausanne-Sport,Home,61',Yellow Card,Kaly Sène,Foul,,,4244801
FC Winterthur,Away,64',Yellow Card,Boubacar Fofana,Foul,,,4244801
FC Winterthur,Away,75',Yellow Card,Granit Lekaj,Foul,,,4244801
FC Winterthur,Away,79',Yellow Card,Nishan Burkart,Foul,,,4244801
